STATE_NAME,Lg_Dist_Code,DISTRICT_NAME,MICRO,SMALL,MEDIUM,Total,Last_Updated
ANDHRA PRADESH,745,Alluri Sitharama Raju,1,0,0,1,23-04-2022
ANDHRA PRADESH,744,Anakapalli,22,0,0,22,23-04-2022
ANDHRA PRADESH,502,ANANTHAPUR,11885,312,11,12208,23-04-2022
ANDHRA PRADESH,753,Annamayya,13,0,0,13,23-04-2022
ANDHRA PRADESH,750,Bapatla,9,1,0,10,23-04-2022
ANDHRA PRADESH,503,CHITOOR,12515,436,19,12970,23-04-2022
ANDHRA PRADESH,505,EAST GODAVARI,16222,758,51,17031,23-04-2022
ANDHRA PRADESH,748,Eluru,32,1,0,33,23-04-2022
ANDHRA PRADESH,506,GUNTUR,15128,740,61,15929,23-04-2022
ANDHRA PRADESH,746,Kakinada,37,1,0,38,23-04-2022
ANDHRA PRADESH,747,Konaseema,16,0,0,16,23-04-2022
ANDHRA PRADESH,510,KRISHNA,19932,1169,85,21186,23-04-2022
ANDHRA PRADESH,511,KURNOOL,12839,418,16,13273,23-04-2022
ANDHRA PRADESH,755,Nandyal,21,0,0,21,23-04-2022
ANDHRA PRADESH,749,NTR,30,1,0,31,23-04-2022
ANDHRA PRADESH,751,Palnadu,19,0,0,19,23-04-2022
ANDHRA PRADESH,743,Parvathipuram Manyam,3,0,0,3,23-04-2022
ANDHRA PRADESH,517,PRAKASAM,8829,284,8,9121,23-04-2022
ANDHRA PRADESH,515,SPSR NELLORE,10270,429,20,10719,23-04-2022
ANDHRA PRADESH,754,Sri Sathya Sai,20,0,0,20,23-04-2022
ANDHRA PRADESH,519,SRIKAKULAM,4232,149,7,4388,23-04-2022
ANDHRA PRADESH,752,Tirupati,25,1,0,26,23-04-2022
ANDHRA PRADESH,520,VISAKHAPATNAM,17062,1061,89,18212,23-04-2022
ANDHRA PRADESH,521,VIZIANAGARAM,4381,161,6,4548,23-04-2022
ANDHRA PRADESH,523,WEST GODAVARI,14353,725,77,15155,23-04-2022
ANDHRA PRADESH,504,Y.S.R,8642,321,16,8979,23-04-2022
ARUNACHAL PRADESH,628,ANJAW,24,0,0,24,23-04-2022
ARUNACHAL PRADESH,229,CHANGLANG,87,0,0,87,23-04-2022
ARUNACHAL PRADESH,230,DIBANG VALLEY,7,0,0,7,23-04-2022
ARUNACHAL PRADESH,231,EAST KAMENG,27,0,0,27,23-04-2022
ARUNACHAL PRADESH,232,EAST SIANG,102,2,0,104,23-04-2022
ARUNACHAL PRADESH,718,KAMLE,9,0,0,9,23-04-2022
ARUNACHAL PRADESH,677,KRA DAADI,15,0,0,15,23-04-2022
ARUNACHAL PRADESH,233,KURUNG KUMEY,25,1,0,26,23-04-2022
ARUNACHAL PRADESH,724,LEPARADA,9,0,0,9,23-04-2022
ARUNACHAL PRADESH,234,LOHIT,98,0,0,98,23-04-2022
ARUNACHAL PRADESH,666,LONGDING,17,0,0,17,23-04-2022
ARUNACHAL PRADESH,235,LOWER DIBANG VALLEY,43,1,0,44,23-04-2022
ARUNACHAL PRADESH,719,LOWER SIANG,26,0,0,26,23-04-2022
ARUNACHAL PRADESH,236,LOWER SUBANSIRI,176,2,0,178,23-04-2022
ARUNACHAL PRADESH,678,NAMSAI,41,0,0,41,23-04-2022
ARUNACHAL PRADESH,723,PAKKE KESSANG,5,0,0,5,23-04-2022
ARUNACHAL PRADESH,237,PAPUM PARE,731,47,9,787,23-04-2022
ARUNACHAL PRADESH,725,SHI YOMI,12,0,0,12,23-04-2022
ARUNACHAL PRADESH,679,SIANG,12,0,0,12,23-04-2022
