STATE_NAME,DIST_CODE,DISTRICT,MICRO,SMALL,MEDIUM,TOTAL
BIHAR,189,AURANGABAD,3339,70,4,3413
BIHAR,190,BANKA,3765,35,1,3801
BIHAR,191,BEGUSARAI,6988,178,14,7180
BIHAR,192,BHAGALPUR,8163,188,9,8360
BIHAR,193,BHOJPUR,3819,79,2,3900
BIHAR,194,BUXAR,2481,58,2,2541
BIHAR,195,DARBHANGA,7665,157,5,7827
BIHAR,196,GAYA,8193,164,10,8367
BIHAR,197,GOPALGANJ,4450,70,1,4521
CHHATTISGARH,379,JANJGIR-CHAMPA,3816,89,2,3907
CHHATTISGARH,380,JASHPUR,893,37,2,932
CHHATTISGARH,382,KABIRDHAM,1549,42,2,1593
CHHATTISGARH,381,KANKER,1670,34,2,1706
GUJARAT,674,DEVBHOOMI DWARKA,2288,80,3,2371
GUJARAT,445,DOHAD,2329,62,8,2399
GUJARAT,446,GANDHINAGAR,8855,270,18,9143
GUJARAT,675,GIR SOMNATH,2873,117,2,2992
GUJARAT,447,JAMNAGAR,8721,397,26,9144
GUJARAT,448,JUNAGADH,6996,195,8,7199
GUJARAT,449,KACHCHH,17245,1162,129,18536
GUJARAT,450,KHEDA,5537,104,3,5644
GUJARAT,451,MAHESANA,7399,397,28,7824
HARYANA,60,FARIDABAD,21229,1004,81,22314
HARYANA,61,FATEHABAD,5330,159,5,5494
HARYANA,62,GURUGRAM,26889,2046,268,29203
HARYANA,63,HISAR,12874,471,34,13379
HARYANA,64,JHAJJAR,5571,197,6,5774
HARYANA,65,JIND,7246,246,13,7505
HARYANA,66,KAITHAL,7242,160,5,7407
HARYANA,67,KARNAL,13500,418,23,13941
HARYANA,68,KURUKSHETRA,8173,270,8,8451
HARYANA,69,MAHENDRAGARH,4153,123,3,4279
HARYANA,604,NUH,3685,103,5,3793
HARYANA,619,PALWAL,5031,169,5,5205
HARYANA,70,PANCHKULA,5734,313,24,6071
HARYANA,71,PANIPAT,10621,544,40,11205
JHARKHAND,338,PALAMU,2412,57,3,2472
JHARKHAND,607,RAMGARH ,4228,113,3,4344
JHARKHAND,339,RANCHI ,17215,707,58,17980
JHARKHAND,340,SAHEBGANJ,1620,36,1,1657
JHARKHAND,341,SERAIKELA-KHARSAWAN  ,2930,100,9,3039
KARNATAKA,524,BAGALKOT,7789,138,4,7931
KARNATAKA,528,BALLARI,9842,362,29,10233
KARNATAKA,527,BELAGAVI,22266,406,21,22693
KARNATAKA,526,BENGALURU (RURAL),17583,455,37,18075
KARNATAKA,525,BENGALURU (URBAN),98320,5951,754,105025
KARNATAKA,529,BIDAR,5226,108,2,5336
KARNATAKA,531,CHAMARAJNAGAR,2618,69,2,2689
KARNATAKA,630,CHIKBALLAPUR,4013,121,7,4141
KARNATAKA,532,CHIKKAMAGALURU,4528,133,5,4666
KARNATAKA,533,CHITRADURGA,4782,136,5,4923
KARNATAKA,534,DAKSHIN KANNAD,14530,531,38,15099
